t_ms,seg00,seg01,seg02,seg03,seg04,seg05,seg06,seg07,seg08,seg09,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20,seg21,seg22,seg23
2065.487,0.209230,0.286989,0.271469,0.202171,0.080349,-0.042914,-0.189886,-0.304001,-0.405514,-0.496137,-0.621032,-0.689859,-0.704552,-0.678016,-0.666686,-0.563143,-0.413236,-0.222829,-0.077189,0.113871,0.303080,0.468710,0.579580,0.703784
2099.912,0.384121,0.364117,0.313324,0.232836,0.081427,-0.063496,-0.221054,-0.330699,-0.428402,-0.509806,-0.640339,-0.711676,-0.731377,-0.697791,-0.685480,-0.578085,-0.420415,-0.224074,-0.080305,0.108648,0.315612,0.483922,0.585746,0.710976
2134.336,0.134124,0.257147,0.272238,0.216410,0.115331,-0.014133,-0.159620,-0.286719,-0.386667,-0.493673,-0.624755,-0.693503,-0.716832,-0.698116,-0.688016,-0.587844,-0.442028,-0.252860,-0.090826,0.090336,0.280125,0.445131,0.568754,0.711451
2168.761,-0.084747,0.175422,0.241816,0.202766,0.143726,0.043134,-0.088452,-0.223956,-0.333436,-0.460607,-0.593717,-0.667379,-0.692617,-0.690634,-0.688559,-0.598032,-0.468074,-0.288917,-0.121897,0.066032,0.234373,0.398093,0.539750,0.690603
2203.186,-0.210894,0.144072,0.244733,0.217477,0.188551,0.111301,-0.009649,-0.149384,-0.269802,-0.414833,-0.557295,-0.643512,-0.678445,-0.695681,-0.707223,-0.629664,-0.518594,-0.350986,-0.182644,0.016059,0.170960,0.335877,0.493528,0.656303
2237.611,0.153418,0.284408,0.301974,0.257568,0.183091,0.074830,-0.054877,-0.165623,-0.265553,-0.371355,-0.512056,-0.603583,-0.658156,-0.670280,-0.688754,-0.623953,-0.523310,-0.369702,-0.222345,-0.033800,0.154796,0.319620,0.449440,0.609832
2272.035,-0.106000,0.180705,0.265546,0.243384,0.216580,0.127061,0.008332,-0.121733,-0.228986,-0.363829,-0.507616,-0.598388,-0.653578,-0.679812,-0.700383,-0.639585,-0.547240,-0.396797,-0.231355,-0.044972,0.123992,0.286970,0.440238,0.616110
2306.460,-0.410643,0.049705,0.205707,0.207816,0.236457,0.174860,0.072056,-0.073412,-0.186226,-0.345677,-0.485611,-0.572754,-0.625182,-0.666128,-0.688523,-0.634382,-0.554652,-0.412370,-0.233553,-0.049408,0.093622,0.252597,0.427442,0.613038
2340.885,-0.307668,0.079159,0.204947,0.198922,0.209554,0.139439,0.033631,-0.100910,-0.205396,-0.346740,-0.479098,-0.561898,-0.612385,-0.645336,-0.664459,-0.609569,-0.527420,-0.386525,-0.216922,-0.036997,0.114073,0.271684,0.433076,0.609039
2375.310,-0.754009,-0.084920,0.123915,0.124227,0.174959,0.164397,0.070447,-0.089095,-0.229980,-0.409468,-0.538438,-0.616818,-0.626681,-0.658812,-0.668487,-0.590956,-0.489382,-0.326453,-0.149876,0.063712,0.161581,0.321175,0.508193,0.662162
2409.735,-0.286747,0.094583,0.221308,0.222619,0.247425,0.183659,0.085420,-0.041224,-0.142807,-0.282994,-0.420138,-0.513588,-0.582402,-0.631266,-0.664663,-0.628861,-0.570552,-0.448781,-0.284668,-0.105031,0.048237,0.205241,0.369585,0.557447
2444.159,-0.241797,0.116548,0.222826,0.209491,0.209686,0.146364,0.041180,-0.083441,-0.191544,-0.325410,-0.459987,-0.550321,-0.603332,-0.638518,-0.664025,-0.613525,-0.536967,-0.400619,-0.243124,-0.052988,0.098954,0.258317,0.414643,0.584935
2478.584,-0.368536,0.068259,0.215215,0.219029,0.251223,0.193075,0.094674,-0.041646,-0.150857,-0.303671,-0.444153,-0.537270,-0.600270,-0.649164,-0.680124,-0.638156,-0.573369,-0.444079,-0.272865,-0.088730,0.057130,0.215386,0.387812,0.576906
2513.009,-0.000203,0.207728,0.265167,0.249802,0.235577,0.152673,0.047944,-0.053518,-0.141885,-0.249390,-0.384419,-0.483112,-0.564154,-0.607974,-0.647148,-0.620225,-0.569178,-0.457637,-0.314326,-0.137464,0.039557,0.197036,0.337935,0.518754
2547.434,-0.272588,0.191020,0.263831,0.212408,0.186033,0.216204,0.122990,0.028426,-0.139266,-0.271249,-0.420803,-0.553272,-0.582604,-0.629771,-0.683575,-0.634020,-0.567505,-0.431847,-0.334978,-0.050489,0.057400,0.230734,0.384730,0.503803
2581.858,0.027624,0.228121,0.279802,0.262815,0.246918,0.167907,0.064239,-0.033365,-0.124388,-0.231228,-0.370088,-0.474965,-0.560715,-0.608933,-0.653744,-0.631447,-0.586271,-0.478796,-0.340127,-0.157884,0.019787,0.178519,0.319508,0.501556
2616.283,0.135518,0.280262,0.305982,0.278405,0.240688,0.154792,0.045082,-0.047148,-0.139750,-0.239407,-0.381593,-0.489931,-0.575445,-0.618641,-0.663729,-0.637949,-0.587222,-0.475243,-0.342696,-0.155078,0.030274,0.191502,0.325561,0.502690
2650.708,-0.093978,0.190551,0.275358,0.261173,0.252040,0.174620,0.066578,-0.051554,-0.155251,-0.285664,-0.431826,-0.534055,-0.608270,-0.652613,-0.689680,-0.651768,-0.588473,-0.462061,-0.306550,-0.119136,0.049534,0.211090,0.365993,0.551539
